Instrument,Common Equity - Total,Original Announcement Date Time
BCC.N,995261000.0,2021-05-06T20:24:10Z
BCC.N,850799000.0,2021-02-22T21:05:00Z
BCC.N,850799000.0,2020-10-30T20:05:00Z
BCC.N,778136000.0,2020-07-31T20:15:00Z
BCC.N,739708000.0,2020-05-07T20:30:00Z
BCC.N,708271000.0,2020-02-24T21:30:00Z
BCC.N,701330000.0,2019-11-07T13:11:42Z
BCC.N,731566000.0,2019-08-05T10:18:33Z
BCC.N,731566000.0,2019-05-07T10:13:07Z
BCC.N,705021000.0,2019-02-26T11:06:36Z
BCC.N,705021000.0,2018-11-06T11:05:54Z
BCC.N,679017000.0,2018-08-06T09:45:35Z
BCC.N,672590000.0,2018-05-04T23:00:00Z
BCC.N,672590000.0,2018-02-26T23:00:00Z
BCC.N,747762000.0,2017-10-31T17:00:00Z
BCC.N,768188000.0,2017-07-27T11:07:00Z
BCC.N,707052000.0,2017-05-03T17:00:00Z
BCC.N,674549000.0,2017-02-24T17:00:00Z
BCC.N,649313000.0,2016-10-26T17:00:00Z
BCC.N,614302000.0,2016-07-28T17:00:00Z
BCC.N,589450000.0,
BCC.N,580004000.0,
BCC.N,572474000.0,
BCC.N,560019000.0,
CIT.N,5290700000.0,2021-04-28T12:10:50Z
CIT.N,5197900000.0,2021-01-26T13:12:31Z
CIT.N,5239000000.0,2020-10-16T13:43:34Z
CIT.N,5214300000.0,2020-07-21T10:42:48Z
CIT.N,5335800000.0,2020-04-21T10:32:20Z
CIT.N,5814000000.0,2020-01-28T11:47:49Z
CIT.N,5708500000.0,2019-10-22T11:46:34Z
CIT.N,5591000000.0,2019-07-23T10:58:35Z
CIT.N,5584500000.0,2019-04-23T10:59:16Z
CIT.N,5621600000.0,2019-01-29T11:30:15Z
CIT.N,5995300000.0,2018-10-23T10:30:22Z
CIT.N,6200700000.0,2018-07-24T10:30:13Z
CIT.N,6801800000.0,2018-04-24T17:00:00Z
CIT.N,6995000000.0,2018-01-30T17:00:00Z
CIT.N,7126300000.0,2017-10-24T11:41:00Z
CIT.N,7026200000.0,2017-07-25T17:00:00Z
CIT.N,10165200000.0,2017-04-24T11:30:00Z
CIT.N,10002700000.0,2017-01-31T12:30:00Z
CIT.N,11237000000.0,2016-10-25T11:30:00Z
CIT.N,11124100000.0,2016-07-28T12:06:00Z
MSCI.N,-481582000.0,2021-04-27T10:45:00Z
MSCI.N,-443234000.0,2021-01-28T11:56:11Z
MSCI.N,-386586000.0,2020-10-27T10:48:16Z
MSCI.N,-310932000.0,2020-07-28T10:45:00Z
MSCI.N,-354331000.0,2020-04-28T11:00:00Z
MSCI.N,-76714000.0,2020-01-30T12:03:57Z
MSCI.N,-147856000.0,2019-10-31T11:00:01Z
MSCI.N,-231802000.0,2019-08-01T11:04:42Z
MSCI.N,-316508000.0,2019-05-02T11:03:00Z
MSCI.N,-166494000.0,2019-01-31T12:04:00Z
MSCI.N,378441000.0,2018-11-01T11:04:55Z
MSCI.N,346422000.0,2018-08-02T11:03:00Z
MSCI.N,421374000.0,2018-05-03T17:00:00Z
MSCI.N,401012000.0,2018-02-01T17:00:00Z
MSCI.N,360314000.0,2017-11-02T17:00:00Z
MSCI.N,307200000.0,2017-08-02T12:11:37Z
MSCI.N,278838000.0,2017-05-03T23:41:00Z
MSCI.N,317605000.0,2017-02-02T17:00:00Z
MSCI.N,551519000.0,2016-10-27T17:00:00Z
MSCI.N,535153000.0,2016-07-28T17:00:00Z
FIS.N,48460000000.0,2021-05-06T11:00:01Z
FIS.N,49300000000.0,2021-02-09T12:04:28Z
FIS.N,49031000000.0,2020-10-29T11:05:57Z
FIS.N,49043000000.0,2020-08-04T11:00:00Z
FIS.N,49167000000.0,2020-05-07T11:00:00Z
FIS.N,49440000000.0,2020-02-13T12:00:00Z
FIS.N,49195000000.0,2019-11-05T12:06:25Z
FIS.N,9985000000.0,2019-08-06T11:00:00Z
FIS.N,9896000000.0,2019-04-30T11:08:46Z
FIS.N,10215000000.0,2019-02-12T12:07:43Z
FIS.N,10081000000.0,2018-10-30T11:00:00Z
FIS.N,10439000000.0,2018-07-31T11:07:44Z
FIS.N,10495000000.0,2018-05-01T17:00:00Z
FIS.N,10711000000.0,2018-02-06T17:00:00Z
FIS.N,9985000000.0,2017-10-31T17:00:00Z
FIS.N,9891000000.0,2017-08-02T12:13:00Z
FIS.N,9878000000.0,2017-05-02T12:00:00Z
FIS.N,9741000000.0,2017-02-07T12:14:00Z
FIS.N,9661000000.0,2016-11-01T17:00:00Z
FIS.N,9497000000.0,2016-07-26T12:00:00Z
FMNB.OQ,347355000.0,2021-04-28T12:00:01Z
FMNB.OQ,350097000.0,2021-01-28T13:00:01Z
FMNB.OQ,339968000.0,2020-10-28T12:00:01Z
FMNB.OQ,331352000.0,2020-07-29T12:00:01Z
FMNB.OQ,303597000.0,2020-04-29T12:00:00Z
FMNB.OQ,299309000.0,2020-01-29T13:00:00Z
FMNB.OQ,293223000.0,2019-10-23T12:00:01Z
FMNB.OQ,284825000.0,2019-07-26T12:00:00Z
FMNB.OQ,272951000.0,2019-04-24T12:00:00Z
FMNB.OQ,262320000.0,2019-01-30T13:00:00Z
FMNB.OQ,248789000.0,2018-10-24T12:00:00Z
FMNB.OQ,247510000.0,2018-07-18T12:00:00Z
FMNB.OQ,241240000.0,2018-04-18T17:00:00Z
FMNB.OQ,242074000.0,2018-01-31T17:00:00Z
FMNB.OQ,237883000.0,2017-10-25T17:00:00Z
FMNB.OQ,226687000.0,2017-07-26T17:00:00Z
FMNB.OQ,218062000.0,2017-04-19T21:05:00Z
FMNB.OQ,213216000.0,2017-01-27T17:00:00Z
FMNB.OQ,215437000.0,2016-10-20T17:00:00Z
FMNB.OQ,212491000.0,2016-07-22T17:00:00Z
HSC.N,659974000.0,2021-05-04T11:04:25Z
HSC.N,657154000.0,2021-02-25T12:04:40Z
HSC.N,714292000.0,2020-11-03T12:00:01Z
HSC.N,715179000.0,2020-08-05T16:21:06Z
HSC.N,710853000.0,2020-05-08T11:00:15Z
HSC.N,741580000.0,2020-02-21T12:00:11Z
HSC.N,705740000.0,2019-10-29T12:04:06Z
HSC.N,300716000.0,2019-07-31T11:28:54Z
HSC.N,287023000.0,2019-05-09T10:00:33Z
HSC.N,268263000.0,2019-02-21T12:26:33Z
HSC.N,261551000.0,2018-10-31T11:00:08Z
HSC.N,223732000.0,2018-08-02T11:11:31Z
HSC.N,198107000.0,2018-05-02T17:00:00Z
HSC.N,170451000.0,2018-02-22T17:00:00Z
HSC.N,167036000.0,2017-11-08T17:00:00Z
HSC.N,143929000.0,2017-08-03T12:09:00Z
HSC.N,125638000.0,2017-05-03T12:00:00Z
HSC.N,96301000.0,2017-02-24T12:30:00Z
HSC.N,250917000.0,2016-11-03T16:00:00Z
HSC.N,260290000.0,2016-08-04T17:00:00Z
KODK.N,104000000.0,2021-05-12T20:15:00Z
KODK.N,77000000.0,2021-03-16T20:44:02Z
KODK.N,88000000.0,2020-11-10T21:20:00Z
KODK.N,-30000000.0,2020-08-11T20:15:00Z
KODK.N,-25000000.0,2020-05-12T20:15:00Z
KODK.N,99000000.0,2020-03-17T20:19:00Z
KODK.N,171000000.0,2019-11-07T21:19:00Z
KODK.N,171000000.0,2019-08-08T20:15:00Z
KODK.N,183000000.0,2019-05-09T20:15:00Z
KODK.N,183000000.0,2019-04-01T20:15:00Z
KODK.N,-16000000.0,2018-11-09T21:18:00Z
KODK.N,-3000000.0,2018-08-10T01:33:33Z
KODK.N,18000000.0,2018-05-09T17:00:00Z
KODK.N,12000000.0,2018-03-15T17:00:00Z
KODK.N,32000000.0,2017-11-08T17:00:00Z
KODK.N,57000000.0,2017-08-09T21:15:00Z
KODK.N,-117000000.0,2017-05-09T17:00:00Z
KODK.N,-59000000.0,2017-03-07T17:00:00Z
KODK.N,-58000000.0,2016-11-09T17:00:00Z
KODK.N,-73000000.0,2016-08-09T17:00:00Z
KODK.N,-50000000.0,
KODK.N,-67000000.0,
KALV.OQ,58565000.0,2021-03-11T11:30:00Z
