Instrument,Earnings before Interest & Taxes (EBIT) - Normalized,Original Announcement Date Time
BCC.N,205396000.0,2021-05-06T20:24:10Z
BCC.N,93230000.0,2021-02-22T21:05:00Z
BCC.N,158535000.0,2020-10-30T20:05:00Z
BCC.N,51915000.0,2020-07-31T20:15:00Z
BCC.N,25956000.0,2020-05-07T20:30:00Z
BCC.N,24742000.0,2020-02-24T21:30:00Z
BCC.N,43085000.0,2019-11-07T13:11:42Z
BCC.N,45090000.0,2019-08-05T10:18:33Z
BCC.N,21517000.0,2019-05-07T10:13:07Z
BCC.N,-80646000.0,2019-02-26T11:06:36Z
BCC.N,30140000.0,2018-11-06T11:05:54Z
BCC.N,73504000.0,2018-08-06T09:45:35Z
BCC.N,51297000.0,2018-05-04T23:00:00Z
BCC.N,22191000.0,2018-02-26T23:00:00Z
BCC.N,56098000.0,2017-10-31T17:00:00Z
BCC.N,42462000.0,2017-07-27T11:07:00Z
BCC.N,21122000.0,2017-05-03T17:00:00Z
BCC.N,-3068000.0,2017-02-24T17:00:00Z
BCC.N,31267000.0,2016-10-26T17:00:00Z
BCC.N,37895000.0,2016-07-28T17:00:00Z
CIT.N,282600000.0,2021-04-28T12:10:50Z
CIT.N,176500000.0,2021-01-26T13:12:31Z
CIT.N,178500000.0,2020-10-16T13:43:34Z
CIT.N,87500000.0,2020-07-21T10:42:48Z
CIT.N,162000000.0,2020-04-21T10:32:20Z
CIT.N,180000000.0,2020-01-28T11:47:49Z
CIT.N,132000000.0,2019-10-22T11:46:34Z
CIT.N,170400000.0,2019-07-23T10:58:35Z
CIT.N,157100000.0,2019-04-23T10:59:16Z
CIT.N,132300000.0,2019-01-29T11:30:15Z
CIT.N,174200000.0,2018-10-23T10:30:22Z
CIT.N,224000000.0,2018-07-24T10:30:13Z
CIT.N,145100000.0,2018-04-24T17:00:00Z
CIT.N,241200000.0,2018-01-30T17:00:00Z
CIT.N,180900000.0,2017-10-24T11:41:00Z
CIT.N,179400000.0,2017-07-25T17:00:00Z
CIT.N,150900000.0,2017-04-24T11:30:00Z
CIT.N,-349000000.0,2017-01-31T12:30:00Z
CIT.N,159700000.0,2016-10-25T11:30:00Z
CIT.N,224100000.0,2016-07-28T12:06:00Z
MSCI.N,253236000.0,2021-04-27T10:45:00Z
MSCI.N,232195000.0,2021-01-28T11:56:11Z
MSCI.N,226104000.0,2020-10-27T10:48:16Z
MSCI.N,214623000.0,2020-07-28T10:45:00Z
MSCI.N,209597000.0,2020-04-28T11:00:00Z
MSCI.N,181523000.0,2020-01-30T12:03:57Z
MSCI.N,200997000.0,2019-10-31T11:00:01Z
MSCI.N,192315000.0,2019-08-01T11:04:42Z
MSCI.N,160121000.0,2019-05-02T11:03:00Z
MSCI.N,217084000.0,2019-01-31T12:04:00Z
MSCI.N,176226000.0,2018-11-01T11:04:55Z
MSCI.N,183803000.0,2018-08-02T11:03:00Z
MSCI.N,166228000.0,2018-05-03T17:00:00Z
MSCI.N,153750000.0,2018-02-01T17:00:00Z
MSCI.N,147988000.0,2017-11-02T17:00:00Z
MSCI.N,145228000.0,2017-08-02T12:11:37Z
MSCI.N,130051000.0,2017-05-03T23:41:00Z
MSCI.N,124792000.0,2017-02-02T17:00:00Z
MSCI.N,123302000.0,2016-10-27T17:00:00Z
MSCI.N,122177000.0,2016-07-28T17:00:00Z
FIS.N,-129000000.0,2021-05-06T11:00:01Z
