Instrument,Enterprise Value,Original Announcement Date Time
BCC.N,2372759626.79,2021-05-06T20:24:10Z
BCC.N,1943835602.8,2021-02-22T21:05:00Z
BCC.N,1537814030.48,2020-10-30T20:05:00Z
BCC.N,1586175840.59,2020-07-31T20:15:00Z
BCC.N,1182231599.82,2020-05-07T20:30:00Z
BCC.N,1603596142.96,2020-02-24T21:30:00Z
BCC.N,1427673198.55,2019-11-07T13:11:42Z
BCC.N,1354858367.24,2019-08-05T10:18:33Z
BCC.N,1430045204.6,2019-05-07T10:13:07Z
BCC.N,1175731092.95,2019-02-26T11:06:36Z
BCC.N,1689054385.6,2018-11-06T11:05:54Z
BCC.N,1966539763.0,2018-08-06T09:45:35Z
BCC.N,1804078514.2,2018-05-04T23:00:00Z
BCC.N,1799697486.4,2018-02-26T23:00:00Z
BCC.N,1610817813.3,2017-10-31T17:00:00Z
BCC.N,1504984835.2,2017-07-27T11:07:00Z
BCC.N,1423242852.9,2017-05-03T17:00:00Z
BCC.N,1205546902.5,2017-02-24T17:00:00Z
BCC.N,1434657195.8,2016-10-26T17:00:00Z
BCC.N,1257825037.15,2016-07-28T17:00:00Z
CIT.N,9796544289.57,2021-04-28T12:10:50Z
CIT.N,9230305619.9,2021-01-26T13:12:31Z
CIT.N,8882804658.28,2020-10-16T13:43:34Z
CIT.N,9485842167.79,2020-07-21T10:42:48Z
CIT.N,9601055424.32,2020-04-21T10:32:20Z
CIT.N,9836116878.2,2020-01-28T11:47:49Z
CIT.N,10435361129.02,2019-10-22T11:46:34Z
CIT.N,11201540982.52,2019-07-23T10:58:35Z
CIT.N,11120165205.67,2019-04-23T10:59:16Z
CIT.N,11890635460.98,2019-01-29T11:30:15Z
CIT.N,14275095987.96,2018-10-23T10:30:22Z
CIT.N,14986193329.66,2018-07-24T10:30:13Z
CIT.N,16814500818.0,2018-04-24T17:00:00Z
CIT.N,15482672496.28,2018-01-30T17:00:00Z
CIT.N,15045555466.3,2017-10-24T11:41:00Z
CIT.N,18221081478.2,2017-07-25T17:00:00Z
CIT.N,22695057996.38,2017-04-24T11:30:00Z
CIT.N,22737794508.36,2017-01-31T12:30:00Z
CIT.N,22961012504.0,2016-10-25T11:30:00Z
CIT.N,22925915261.43,2016-07-28T12:06:00Z
MSCI.N,36814779568.08,2021-04-27T10:45:00Z
MSCI.N,39081378211.2,2021-01-28T11:56:11Z
MSCI.N,31902998080.4,2020-10-27T10:48:16Z
MSCI.N,29885728240.18,2020-07-28T10:45:00Z
MSCI.N,26669067160.0,2020-04-28T11:00:00Z
MSCI.N,23435081968.6,2020-01-30T12:03:57Z
MSCI.N,20140135682.5,2019-10-31T11:00:01Z
MSCI.N,22026573460.19,2019-08-01T11:04:42Z
MSCI.N,18768484481.48,2019-05-02T11:03:00Z
MSCI.N,14650009370.36,2019-01-31T12:04:00Z
MSCI.N,16936062611.59,2018-11-01T11:04:55Z
MSCI.N,15933421963.84,2018-08-02T11:03:00Z
MSCI.N,14662890933.46,2018-05-03T17:00:00Z
MSCI.N,12585902393.22,2018-02-01T17:00:00Z
MSCI.N,11806266712.5,2017-11-02T17:00:00Z
MSCI.N,10648087411.5,2017-08-02T12:11:37Z
MSCI.N,10169847369.04,2017-05-03T23:41:00Z
MSCI.N,8698447211.76,2017-02-02T17:00:00Z
MSCI.N,9043534724.26,2016-10-27T17:00:00Z
MSCI.N,8618110947.2,2016-07-28T17:00:00Z
FIS.N,103146253829.2,2021-05-06T11:00:01Z
FIS.N,102768178243.04,2021-02-09T12:04:28Z
