Instrument,Income Available to Common Shares,Original Announcement Date Time
BCC.N,149156000.0,2021-05-06T20:24:10Z
BCC.N,26001000.0,2021-02-22T21:05:00Z
BCC.N,103192000.0,2020-10-30T20:05:00Z
BCC.N,33586000.0,2020-07-31T20:15:00Z
BCC.N,12200000.0,2020-05-07T20:30:00Z
BCC.N,14647000.0,2020-02-24T21:30:00Z
BCC.N,27171000.0,2019-11-07T13:11:42Z
BCC.N,27718000.0,2019-08-05T10:18:33Z
BCC.N,11389000.0,2019-05-07T10:13:07Z
BCC.N,-72246000.0,2019-02-26T11:06:36Z
BCC.N,13848000.0,2018-11-06T11:05:54Z
BCC.N,41825000.0,2018-08-06T09:45:35Z
BCC.N,37050000.0,2018-05-04T23:00:00Z
BCC.N,19122000.0,2018-02-26T23:00:00Z
BCC.N,31661000.0,2017-10-31T17:00:00Z
BCC.N,22154000.0,2017-07-27T11:07:00Z
BCC.N,10020000.0,2017-05-03T17:00:00Z
BCC.N,4095000.0,2017-02-24T17:00:00Z
BCC.N,9981000.0,2016-10-26T17:00:00Z
BCC.N,19228000.0,2016-07-28T17:00:00Z
CIT.N,301000000.0,2021-04-28T12:10:50Z
CIT.N,-3600000.0,2021-01-26T13:12:31Z
CIT.N,82900000.0,2020-10-16T13:43:34Z
CIT.N,-97600000.0,2020-07-21T10:42:48Z
CIT.N,-628100000.0,2020-04-21T10:32:20Z
CIT.N,121100000.0,2020-01-28T11:47:49Z
CIT.N,142800000.0,2019-10-22T11:46:34Z
CIT.N,128200000.0,2019-07-23T10:58:35Z
CIT.N,118900000.0,2019-04-23T10:59:16Z
CIT.N,82300000.0,2019-01-29T11:30:15Z
CIT.N,131500000.0,2018-10-23T10:30:22Z
CIT.N,117400000.0,2018-07-24T10:30:13Z
CIT.N,97000000.0,2018-04-24T17:00:00Z
CIT.N,-97800000.0,2018-01-30T17:00:00Z
CIT.N,219600000.0,2017-10-24T11:41:00Z
CIT.N,156700000.0,2017-07-25T17:00:00Z
CIT.N,179900000.0,2017-04-24T11:30:00Z
CIT.N,-1141800000.0,2017-01-31T12:30:00Z
CIT.N,131500000.0,2016-10-25T11:30:00Z
CIT.N,17000000.0,2016-07-28T12:06:00Z
MSCI.N,196819000.0,2021-04-27T10:45:00Z
MSCI.N,156216000.0,2021-01-28T11:56:11Z
MSCI.N,182358000.0,2020-10-27T10:48:16Z
MSCI.N,115123000.0,2020-07-28T10:45:00Z
MSCI.N,148125000.0,2020-04-28T11:00:00Z
MSCI.N,122783000.0,2020-01-30T12:03:57Z
MSCI.N,136983000.0,2019-10-31T11:00:01Z
MSCI.N,125690000.0,2019-08-01T11:04:42Z
MSCI.N,178192000.0,2019-05-02T11:03:00Z
MSCI.N,152132000.0,2019-01-31T12:04:00Z
MSCI.N,123832000.0,2018-11-01T11:04:55Z
MSCI.N,116829000.0,2018-08-02T11:03:00Z
MSCI.N,115092000.0,2018-05-03T17:00:00Z
MSCI.N,64602000.0,2018-02-01T17:00:00Z
MSCI.N,85153000.0,2017-11-02T17:00:00Z
MSCI.N,81266000.0,2017-08-02T12:11:37Z
MSCI.N,72951000.0,2017-05-03T23:41:00Z
MSCI.N,68250000.0,2017-02-02T17:00:00Z
MSCI.N,65281000.0,2016-10-27T17:00:00Z
MSCI.N,66957000.0,2016-07-28T17:00:00Z
FIS.N,-373000000.0,2021-05-06T11:00:01Z
FIS.N,104000000.0,2021-02-09T12:04:28Z
FIS.N,20000000.0,2020-10-29T11:05:57Z
FIS.N,19000000.0,2020-08-04T11:00:00Z
FIS.N,15000000.0,2020-05-07T11:00:00Z
FIS.N,-158000000.0,2020-02-13T12:00:00Z
FIS.N,154000000.0,2019-11-05T12:06:25Z
FIS.N,154000000.0,2019-08-06T11:00:00Z
FIS.N,148000000.0,2019-04-30T11:08:46Z
FIS.N,298000000.0,2019-02-12T12:07:43Z
FIS.N,154000000.0,2018-10-30T11:00:00Z
FIS.N,212000000.0,2018-07-31T11:07:44Z
FIS.N,182000000.0,2018-05-01T17:00:00Z
FIS.N,934000000.0,2018-02-06T17:00:00Z
FIS.N,59000000.0,2017-10-31T17:00:00Z
FIS.N,139000000.0,2017-08-02T12:13:00Z
FIS.N,129000000.0,2017-05-02T12:00:00Z
FIS.N,207000000.0,2017-02-07T12:14:00Z
FIS.N,185000000.0,2016-11-01T17:00:00Z
FIS.N,121000000.0,2016-07-26T12:00:00Z
FMNB.OQ,14556000.0,2021-04-28T12:00:01Z
FMNB.OQ,11357000.0,2021-01-28T13:00:01Z
FMNB.OQ,10869000.0,2020-10-28T12:00:01Z
FMNB.OQ,11011000.0,2020-07-29T12:00:01Z
FMNB.OQ,8639000.0,2020-04-29T12:00:00Z
FMNB.OQ,9675000.0,2020-01-29T13:00:00Z
FMNB.OQ,9154000.0,2019-10-23T12:00:01Z
FMNB.OQ,8543000.0,2019-07-26T12:00:00Z
FMNB.OQ,8388000.0,2019-04-24T12:00:00Z
FMNB.OQ,8686000.0,2019-01-30T13:00:00Z
FMNB.OQ,8084000.0,2018-10-24T12:00:00Z
FMNB.OQ,8073000.0,2018-07-18T12:00:00Z
FMNB.OQ,7726000.0,2018-04-18T17:00:00Z
FMNB.OQ,5235000.0,2018-01-31T17:00:00Z
FMNB.OQ,5983000.0,2017-10-25T17:00:00Z
FMNB.OQ,5710000.0,2017-07-26T17:00:00Z
FMNB.OQ,5783000.0,2017-04-19T21:05:00Z
FMNB.OQ,5363000.0,2017-01-27T17:00:00Z
FMNB.OQ,5376000.0,2016-10-20T17:00:00Z
FMNB.OQ,5020000.0,2016-07-22T17:00:00Z
HSC.N,135000.0,2021-05-04T11:04:25Z
HSC.N,-6302000.0,2021-02-25T12:04:40Z
HSC.N,-9578000.0,2020-11-03T12:00:01Z
HSC.N,-10602000.0,2020-08-05T16:21:06Z
HSC.N,141000.0,2020-05-08T11:00:15Z
HSC.N,39229000.0,2020-02-21T12:00:11Z
HSC.N,435351000.0,2019-10-29T12:04:06Z
HSC.N,8642000.0,2019-07-31T11:28:54Z
HSC.N,20697000.0,2019-05-09T10:00:33Z
HSC.N,45913000.0,2019-02-21T12:26:33Z
HSC.N,32847000.0,2018-10-31T11:00:08Z
HSC.N,40489000.0,2018-08-02T11:11:31Z
HSC.N,17808000.0,2018-05-02T17:00:00Z
HSC.N,-33404000.0,2018-02-22T17:00:00Z
HSC.N,13298000.0,2017-11-08T17:00:00Z
HSC.N,19038000.0,2017-08-03T12:09:00Z
