Instrument,Original Announcement Date Time,Revenue from Business Activities - Total
BCC.N,2021-05-06T20:24:10Z,1821316000.0
BCC.N,2021-02-22T21:05:00Z,1472231000.0
BCC.N,2020-10-30T20:05:00Z,1589313000.0
BCC.N,2020-07-31T20:15:00Z,1242760000.0
BCC.N,2020-05-07T20:30:00Z,1170534000.0
BCC.N,2020-02-24T21:30:00Z,1101713000.0
BCC.N,2019-11-07T13:11:42Z,1269524000.0
BCC.N,2019-08-05T10:18:33Z,1230081000.0
BCC.N,2019-05-07T10:13:07Z,1042086000.0
BCC.N,2019-02-26T11:06:36Z,1065805000.0
BCC.N,2018-11-06T11:05:54Z,1338512000.0
BCC.N,2018-08-06T09:45:35Z,1408132000.0
BCC.N,2018-05-04T23:00:00Z,1182841000.0
BCC.N,2018-02-26T23:00:00Z,1091965000.0
BCC.N,2017-10-31T17:00:00Z,1226644000.0
BCC.N,2017-07-27T11:07:00Z,1138939000.0
BCC.N,2017-05-03T17:00:00Z,974443000.0
BCC.N,2017-02-24T17:00:00Z,919533000.0
BCC.N,2016-10-26T17:00:00Z,1067214000.0
BCC.N,2016-07-28T17:00:00Z,1043773000.0
CIT.N,2021-04-28T12:10:50Z,621300000.0
CIT.N,2021-01-26T13:12:31Z,550300000.0
CIT.N,2020-10-16T13:43:34Z,519800000.0
CIT.N,2020-07-21T10:42:48Z,494800000.0
CIT.N,2020-04-21T10:32:20Z,568100000.0
CIT.N,2020-01-28T11:47:49Z,522900000.0
CIT.N,2019-10-22T11:46:34Z,527200000.0
CIT.N,2019-07-23T10:58:35Z,539200000.0
CIT.N,2019-04-23T10:59:16Z,554900000.0
CIT.N,2019-01-29T11:30:15Z,558700000.0
CIT.N,2018-10-23T10:30:22Z,583000000.0
CIT.N,2018-07-24T10:30:13Z,583400000.0
CIT.N,2018-04-24T17:00:00Z,582500000.0
CIT.N,2018-01-30T17:00:00Z,614900000.0
CIT.N,2017-10-24T11:41:00Z,597300000.0
CIT.N,2017-07-25T17:00:00Z,581800000.0
CIT.N,2017-04-24T11:30:00Z,596500000.0
CIT.N,2017-01-31T12:30:00Z,-9100000.0
CIT.N,2016-10-25T11:30:00Z,597200000.0
CIT.N,2016-07-28T12:06:00Z,622500000.0
MSCI.N,2021-04-27T10:45:00Z,478423000.0
MSCI.N,2021-01-28T11:56:11Z,443661000.0
MSCI.N,2020-10-27T10:48:16Z,425333000.0
MSCI.N,2020-07-28T10:45:00Z,409616000.0
MSCI.N,2020-04-28T11:00:00Z,416780000.0
MSCI.N,2020-01-30T12:03:57Z,406606000.0
MSCI.N,2019-10-31T11:00:01Z,394251000.0
MSCI.N,2019-08-01T11:04:42Z,385558000.0
MSCI.N,2019-05-02T11:03:00Z,371381000.0
MSCI.N,2019-01-31T12:04:00Z,361688000.0
MSCI.N,2018-11-01T11:04:55Z,357934000.0
MSCI.N,2018-08-02T11:03:00Z,363046000.0
MSCI.N,2018-05-03T17:00:00Z,351316000.0
MSCI.N,2018-02-01T17:00:00Z,334779000.0
MSCI.N,2017-11-02T17:00:00Z,322097000.0
MSCI.N,2017-08-02T12:11:37Z,316089000.0
MSCI.N,2017-05-03T23:41:00Z,301207000.0
MSCI.N,2017-02-02T17:00:00Z,292812000.0
MSCI.N,2016-10-27T17:00:00Z,288433000.0
MSCI.N,2016-07-28T17:00:00Z,290596000.0
FIS.N,2021-05-06T11:00:01Z,3223000000.0
FIS.N,2021-02-09T12:04:28Z,3316000000.0
FIS.N,2020-10-29T11:05:57Z,3197000000.0
FIS.N,2020-08-04T11:00:00Z,2962000000.0
FIS.N,2020-05-07T11:00:00Z,3078000000.0
FIS.N,2020-02-13T12:00:00Z,3342000000.0
FIS.N,2019-11-05T12:06:25Z,2822000000.0
FIS.N,2019-08-06T11:00:00Z,2112000000.0
FIS.N,2019-04-30T11:08:46Z,2057000000.0
FIS.N,2019-02-12T12:07:43Z,2167000000.0
FIS.N,2018-10-30T11:00:00Z,2084000000.0
FIS.N,2018-07-31T11:07:44Z,2106000000.0
FIS.N,2018-05-01T17:00:00Z,2066000000.0
