Instrument,Market Capitalization,Original Announcement Date Time
BCC.N,2353132626.79,2021-05-06T20:24:10Z
BCC.N,1873818602.8,2021-02-22T21:05:00Z
BCC.N,1564729030.48,2020-10-30T20:05:00Z
BCC.N,1474184840.59,2020-07-31T20:15:00Z
BCC.N,932095599.82,2020-05-07T20:30:00Z
BCC.N,1423787142.96,2020-02-24T21:30:00Z
BCC.N,1270190198.55,2019-11-07T13:11:42Z
BCC.N,1095578367.24,2019-08-05T10:18:33Z
BCC.N,1042953204.6,2019-05-07T10:13:07Z
BCC.N,927974092.95,2019-02-26T11:06:36Z
BCC.N,1431247385.6,2018-11-06T11:05:54Z
BCC.N,1737680763.0,2018-08-06T09:45:35Z
BCC.N,1500171514.2,2018-05-04T23:00:00Z
BCC.N,1538525486.4,2018-02-26T23:00:00Z
BCC.N,1344969813.3,2017-10-31T17:00:00Z
BCC.N,1171497835.2,2017-07-27T11:07:00Z
BCC.N,1028910852.9,2017-05-03T17:00:00Z
BCC.N,871895902.5,2017-02-24T17:00:00Z
BCC.N,984267195.8,2016-10-26T17:00:00Z
BCC.N,889328037.15,2016-07-28T17:00:00Z
CIT.N,5084444289.57,2021-04-28T12:10:50Z
CIT.N,3537505619.9,2021-01-26T13:12:31Z
CIT.N,1743504658.28,2020-10-16T13:43:34Z
CIT.N,2039142167.79,2020-07-21T10:42:48Z
CIT.N,1696955424.32,2020-04-21T10:32:20Z
CIT.N,4322216878.2,2020-01-28T11:47:49Z
CIT.N,4290161129.02,2019-10-22T11:46:34Z
CIT.N,5062540982.52,2019-07-23T10:58:35Z
CIT.N,4749865205.67,2019-04-23T10:59:16Z
CIT.N,4041035460.98,2019-01-29T11:30:15Z
CIT.N,5838795987.96,2018-10-23T10:30:22Z
CIT.N,6405393329.66,2018-07-24T10:30:13Z
CIT.N,6649000818.0,2018-04-24T17:00:00Z
CIT.N,6461872496.28,2018-01-30T17:00:00Z
CIT.N,6642755466.3,2017-10-24T11:41:00Z
CIT.N,9873281478.2,2017-07-25T17:00:00Z
CIT.N,8700157996.38,2017-04-24T11:30:00Z
CIT.N,8623994508.36,2017-01-31T12:30:00Z
CIT.N,7332312504.0,2016-10-25T11:30:00Z
CIT.N,6436415261.43,2016-07-28T12:06:00Z
MSCI.N,34696032568.08,2021-04-27T10:45:00Z
